  67×25 table

     TestFolder     Accuracy    BestGuess    GuessScore       S1           S2           S3           S4           S5           S6           S7           S8          S9         S10         S11          S12          S13          S14          S15         S16         S17          S18         S19          S20          S21   
    "S3/S3MK4"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S3/S3MK5"        0.7697      "S3"         0.7697              0            0       0.7697            0            0            0            0           0           0           0           0            0            0      0.18182            0           0           0            0           0     0.048485            0
    "S3/S3NM3"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S4/S4GL1"       0.34028      "S6"        0.65972              0            0            0      0.34028            0      0.65972            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S4/S4HD1"       0.66667      "S4"        0.66667              0            0            0      0.66667            0      0.32738            0           0           0           0           0    0.0059524            0            0            0           0           0            0           0            0            0
    "S4/S4MK1"             1      "S4"              1              0            0            0            1            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S4/S4NM2"             1      "S4"              1              0            0            0            1            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S5/S5MK1"       0.53892      "S5"        0.53892              0            0            0            0      0.53892            0            0           0           0           0           0      0.46108            0            0            0           0           0            0           0            0            0
    "S5/S5MK2"      0.094675      "S8"        0.52663        0.26036            0            0            0     0.094675            0            0     0.52663    0.094675           0           0            0    0.0059172     0.017751            0           0           0            0           0            0            0
    "S5/S5MK3"      0.054545      "S1"        0.67273        0.67273            0            0            0     0.054545            0            0     0.20606           0    0.024242    0.012121     0.024242            0    0.0060606            0           0           0            0           0            0            0
    "S5/S5MK4"       0.91848      "S5"        0.91848              0            0    0.0054348            0      0.91848            0            0    0.021739           0    0.021739    0.021739            0      0.01087            0            0           0           0            0           0            0            0
    "S5/S5NM4"       0.77108      "S5"        0.77108              0            0            0            0      0.77108            0            0           0    0.054217           0           0            0       0.1747            0            0           0           0            0           0            0            0
    "S6/S6MK1"       0.89222      "S6"        0.89222              0            0            0            0            0      0.89222            0           0           0           0           0      0.10778            0            0            0           0           0            0           0            0            0
    "S6/S6MK2"             1      "S6"              1              0            0            0            0            0            1            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S7/S7MK1"       0.97619      "S7"        0.97619              0            0            0            0            0            0      0.97619           0           0           0           0            0            0      0.02381            0           0           0            0           0            0            0
    "S7/S7MK2"       0.71264      "S7"        0.71264              0            0            0            0            0            0      0.71264           0           0           0           0            0      0.22414            0            0    0.063218           0            0           0            0            0
    "S7/S7MK3"             1      "S7"              1              0            0            0            0            0            0            1           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S7/S7HD1"       0.99401      "S7"        0.99401              0            0            0            0            0            0      0.99401           0           0           0           0            0            0            0            0           0           0            0    0.005988            0            0
    "S7/S7HD2"       0.88554      "S7"        0.88554              0            0            0            0            0            0      0.88554           0           0           0           0            0            0     0.042169            0           0           0     0.012048    0.060241            0            0
    "S7/S7FM1"        0.3642      "S7"         0.3642        0.32716    0.0061728      0.26543            0            0            0       0.3642           0           0           0           0            0            0            0    0.0061728           0    0.030864            0           0            0            0
    "S7/S7FM2"       0.74556      "S7"        0.74556        0.14793            0    0.0059172            0            0            0      0.74556           0           0           0           0            0            0     0.017751            0           0    0.076923    0.0059172           0            0            0
    "S7/S7FM3"      0.077381      "S18"       0.89286              0      0.02381            0            0            0            0     0.077381           0           0           0           0            0            0    0.0059524            0           0           0      0.89286           0            0            0
    "S7/S7NM4"       0.97546      "S7"        0.97546              0            0            0            0            0            0      0.97546           0           0           0           0            0            0            0            0           0           0      0.02454           0            0            0
    "S10/S10MK2"     0.02994      "S12"        0.8982       0.005988            0            0            0     0.005988            0     0.011976    0.047904           0     0.02994           0       0.8982            0            0            0           0           0            0           0            0            0
    "S10/S10MK1"     0.63095      "S10"       0.63095              0            0            0            0            0            0            0           0           0     0.63095           0            0            0            0            0     0.36905           0            0           0            0            0
    "S10/S10MK3"           0      "S8"        0.60947              0            0            0            0            0            0      0.19527     0.60947           0           0           0     0.011834            0      0.15976     0.011834           0           0            0           0     0.011834            0
    "S10/S10MK4"           0      "S12"       0.83234              0            0            0            0            0            0            0     0.12575           0           0           0      0.83234            0     0.017964     0.017964           0           0            0           0            0     0.005988
    "S10/S10NM2"     0.16364      "S12"       0.60606              0            0            0            0            0            0            0           0           0     0.16364           0      0.60606      0.19394            0            0           0           0            0           0            0     0.036364
    "S11/S11MK2"     0.96429      "S11"       0.96429              0            0     0.011905            0            0            0            0           0           0           0     0.96429            0            0      0.02381            0           0           0            0           0            0            0
    "S11/S11MK1"           1      "S11"             1              0            0            0            0            0            0            0           0           0           0           1            0            0            0            0           0           0            0           0            0            0
    "S11/S11NM3"           1      "S11"             1              0            0            0            0            0            0            0           0           0           0           1            0            0            0            0           0           0            0           0            0            0
    "S12/S12MK2"     0.11446      "S14"       0.44578      0.0060241            0            0            0            0            0     0.090361           0           0           0           0      0.11446            0      0.44578    0.0060241           0           0            0           0      0.33735            0
    "S12/S12MK1"     0.70238      "S12"       0.70238        0.14881            0            0            0            0            0            0    0.017857           0           0           0      0.70238            0      0.13095            0           0           0            0           0            0            0
    "S12/S12NM2"      0.4939      "S12"        0.4939              0            0            0            0            0    0.0060976            0           0     0.30488    0.030488           0       0.4939            0      0.10976            0           0           0            0           0            0     0.054878
    "S13/S13MK1"     0.99398      "S13"       0.99398              0            0            0            0            0            0            0           0           0           0           0            0      0.99398    0.0060241            0           0           0            0           0            0            0
    "S14/S14HD1"     0.02454      "S6"        0.60123              0            0      0.04908            0      0.09816      0.60123            0           0           0     0.06135           0            0            0      0.02454            0           0           0            0           0      0.16564            0
    "S14/S14GL1"     0.99401      "S14"       0.99401              0            0            0            0            0     0.005988            0           0           0           0           0            0            0      0.99401            0           0           0            0           0            0            0
    "S14/S14MK1"           1      "S14"             1              0            0            0            0            0            0            0           0           0           0           0            0            0            1            0           0           0            0           0            0            0
    "S14/S14NM2"     0.97619      "S14"       0.97619              0            0            0            0            0            0            0           0           0           0           0            0            0      0.97619            0           0           0    0.0059524    0.011905            0    0.0059524
    "S15/S15MK1"           1      "S15"             1              0            0            0            0            0            0            0           0           0           0           0            0            0            0            1           0           0            0           0            0            0
    "S16/S16MK1"     0.92216      "S16"       0.92216              0     0.053892     0.011976            0            0            0     0.011976           0           0           0           0            0            0            0            0     0.92216           0            0           0            0            0
    "S17/S17MK1"     0.92727      "S17"       0.92727              0            0            0            0            0            0            0           0           0           0           0            0            0     0.048485            0           0     0.92727            0    0.024242            0            0
    "S18/S18MK1"     0.79245      "S18"       0.79245              0            0            0            0            0            0            0           0           0           0           0            0            0      0.20755            0           0           0      0.79245           0            0            0
    "S19/S19GL1"           1      "S19"             1              0            0            0            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           1            0            0
    "S19/S19MK1"           1      "S19"             1              0            0            0            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           1            0            0
    "S20/S20MK1"    0.060241      "S14"       0.45783              0            0            0            0            0            0            0           0           0           0     0.03012            0            0      0.45783            0           0     0.41566            0           0     0.060241     0.036145
    "S21/S21MK1"           0      "S6"         0.9878              0            0            0            0            0       0.9878            0           0           0           0           0            0    0.0060976            0            0           0           0            0           0    0.0060976            0

